Transaction Date,Month,Buyer First Name,Buyer Last Name,Full Name,Buyer Location,Buyer Date of Birth,Age,Age Category,Payment Method,Quantity Purchased,Product Code,Biscuit Brand,Cost,Unit Price,Revenue,Total Cost of Goods,Profit,Product Price Category,Sales Representative,Gender
2024-02-20,Feb,Allen,Santos,Allen Santos,San Jose,1954-10-23,70,50-70,Credit Card,129,Pro04,Cinnamon Swirls,10,14,1806,1290,516,High Price,Travis Doyle,Male
2024-03-15,Mar,Brenda,Shaw,Brenda Shaw,San Jose,1980-05-05,45,31-50,Cash,370,Pro09,Shortbread,10,45,16650,3700,12950,High Price,Joseph Hill,Female
2024-01-13,Jan,Robert,Hernandez,Robert Hernandez,San Antonio,1966-05-10,59,50-70,Credit Card,284,Pro02,Caramel Biscuits,18,22,6248,5112,1136,High Price,April Watkins,Other
2024-05-09,May,Alexander,Smith,Alexander Smith,San Jose,1945-09-16,79,70above,Debit Card,90,Pro05,Ginger Snaps,14,28,2520,1260,1260,High Price,Elizabeth Guerrero,Male
2024-05-20,May,Mary,Rodriguez,Mary Rodriguez,Philadelphia,1953-11-19,71,70above,Cash,475,Pro04,Cinnamon Swirls,10,14,6650,4750,1900,High Price,Tracy Lee,Female
2024-03-17,Mar,Clinton,Haynes,Clinton Haynes,San Antonio,2001-03-03,24,11-30,Cash,346,Pro01,Butter Crunch,10,11,3806,3460,346,High Price,Sara Robertson,Male
2024-02-17,Feb,Jamie,Steele,Jamie Steele,San Diego,1960-05-03,65,50-70,Credit Card,366,Pro06,Lemon Crisps,7,9,3294,2562,732,Low Price,Katie Stanton,Other
2024-05-29,May,David,Hunt,David Hunt,Chicago,1947-07-09,78,70above,Cash,122,Pro01,Butter Crunch,10,11,1342,1220,122,High Price,Susan Dean,Male
2024-04-28,Apr,Robert,Hernandez,Robert Hernandez,San Antonio,1997-08-28,28,11-30,Debit Card,299,Pro02,Caramel Biscuits,18,22,6578,5382,1196,High Price,Travis Doyle,Male
2024-02-07,Feb,Alexander,Smith,Alexander Smith,San Jose,1977-09-25,47,31-50,Credit Card,327,Pro09,Shortbread,10,45,14715,3270,11445,High Price,Joseph Hill,Other
2024-06-30,Jun,Mary,Rodriguez,Mary Rodriguez,Philadelphia,1975-01-29,50,31-50,Cash,383,Pro04,Cinnamon Swirls,10,14,5362,3830,1532,High Price,April Watkins,Female
2024-02-15,Feb,Samantha,Wong,Samantha Wong,New York,1947-11-21,77,70above,Cash,468,Pro10,Vanilla Wafers,18,36,16848,8424,8424,High Price,April Watkins,Male
2024-01-30,Jan,Gregory,Gibson,Gregory Gibson,San Jose,1966-05-19,59,50-70,Cash,220,Pro02,Caramel Biscuits,18,22,4840,3960,880,High Price,Elizabeth Guerrero,Other
2024-03-26,Mar,Robert,Hernandez,Robert Hernandez,San Antonio,1981-02-03,44,31-50,Debit Card,272,Pro07,Oatmeal Cookies,19,23,6256,5168,1088,High Price,Tracy Lee,Other
2024-07-27,Jul,Alexander,Smith,Alexander Smith,San Jose,1958-04-10,67,50-70,Credit Card,270,Pro10,Vanilla Wafers,18,36,9720,4860,4860,High Price,Sara Robertson,Male
2024-06-22,Jun,Mary,Rodriguez,Mary Rodriguez,Philadelphia,1966-12-07,58,50-70,Credit Card,201,Pro06,Lemon Crisps,7,9,1809,1407,402,Low Price,Katie Stanton,Other
2024-03-05,Mar,Sarah,Case,Sarah Case,New York,1965-06-19,60,50-70,Cash,264,Pro05,Ginger Snaps,14,28,7392,3696,3696,High Price,Susan Dean,Male
2024-07-21,Jul,Taylor,Wilson,Taylor Wilson,Philadelphia,1964-05-16,61,50-70,Credit Card,129,Pro05,Ginger Snaps,14,28,3612,1806,1806,High Price,Katie Stanton,Male
2024-06-30,Jun,Robert,Hernandez,Robert Hernandez,San Antonio,1954-03-21,71,70above,Cash,40,Pro08,Peanut Butter Bites,5,7,280,200,80,Low Price,Susan Dean,Other
2024-07-19,Jul,Alexander,Smith,Alexander Smith,San Jose,1993-01-06,32,31-50,Debit Card,177,Pro10,Vanilla Wafers,18,36,6372,3186,3186,High Price,Susan Dean,Other
2024-02-17,Feb,Mary,Rodriguez,Mary Rodriguez,Philadelphia,1946-09-04,79,70above,Debit Card,229,Pro03,Choco Delight,3,5,1145,687,458,Low Price,Sara Robertson,Female
2024-04-09,Apr,Michelle,Gonzales,Michelle Gonzales,Philadelphia,1972-09-26,52,50-70,Mobile Payment,350,Pro07,Oatmeal Cookies,19,23,8050,6650,1400,High Price,Katie Stanton,Other
2024-05-07,May,Stephen,Ellis,Stephen Ellis,Houston,1954-10-11,70,50-70,Credit Card,182,Pro10,Vanilla Wafers,18,36,6552,3276,3276,High Price,Susan Dean,Male
2024-05-20,May,Robert,Hernandez,Robert Hernandez,San Antonio,2002-09-14,22,11-30,Credit Card,174,Pro01,Butter Crunch,10,11,1914,1740,174,High Price,Katie Stanton,Other
2024-01-02,Jan,Alexander,Smith,Alexander Smith,San Jose,1987-09-26,37,31-50,Cash,428,Pro04,Cinnamon Swirls,10,14,5992,4280,1712,High Price,Susan Dean,Male
